+--------------------+---------------+--------------+----------+------------------+------+------+------+----------+------------+----------+
|             country|poverty_percent|gdp_per_capita|population|years_of_education|   sex|height|weight|     sport|TieneMedalla|sportIndex|
+--------------------+---------------+--------------+----------+------------------+------+------+------+----------+------------+----------+
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|  male|  1.82|  85.0|     canoe|           0|      11.0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|  male|  1.85|  84.0|     canoe|           0|      11.0|
|                Iran|      0.3843361|       16783.0|  79563991|               9.8|  male|  1.85|  82.0|     canoe|           0|      11.0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|  male|  1.86|  88.0|     canoe|           0|      11.0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.84|  77.0|     canoe|           0|      11.0|
|              Latvia|      0.6330571|       22092.0|   1974265|              12.8|  male|  1.85|  90.0|     canoe|           0|      11.0|
|          Uzbekistan|       13.62555|       10381.0|  31441753|              11.4|  male|  1.86|  90.0|     canoe|           0|      11.0|
|          Kazakhstan|     0.01151561|       23842.0|  17830902|              11.7|  male|  1.84|  97.0|     canoe|           0|      11.0|
|          Kazakhstan|     0.01151561|       23842.0|  17830902|              11.7|  male|  1.87|  95.0|     canoe|           0|      11.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|  male|  1.82|  86.0|     canoe|           0|      11.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|  male|  1.86|  80.0|     canoe|           0|      11.0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|  male|  1.69|  64.0|     canoe|           0|      11.0|
|           Lithuania|       1.270506|       24743.0|   2889555|              13.0|  male|  1.85|  87.0|     canoe|           0|      11.0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.79|  90.0|     canoe|           0|      11.0|
|          Kazakhstan|     0.01151561|       23842.0|  17830902|              11.7|  male|  1.88| 100.0|     canoe|           0|      11.0|
|            Bulgaria|       1.948435|       17037.0|   7151948|              11.8|  male|  1.88|  88.0|     canoe|           0|      11.0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|  male|   1.8|  74.0|     canoe|           0|      11.0|
|             Belgium|     0.05981615|       38766.0|  11354407|              11.8|  male|  1.93|  95.0|     canoe|           0|      11.0|
|             Hungary|       1.330806|       23279.0|   9752970|              11.9|  male|  1.86|  89.0|     canoe|           0|      11.0|
|             Hungary|       1.330806|       23279.0|   9752970|              11.9|  male|  1.81|  72.0|     canoe|           0|      11.0|
|             Hungary|       1.330806|       23279.0|   9752970|              11.9|  male|  1.97|  94.0|     canoe|           0|      11.0|
|            Slovenia|            0.0|       26908.0|   2074205|              12.3|  male|  1.77|  74.0|     canoe|           0|      11.0|
|Sao Tome and Prin...|        34.6022|        3624.0|    203221|               6.0|  male|  1.64|  58.0|     canoe|           0|      11.0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|  male|  1.78|  75.0|     canoe|           0|      11.0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|  male|  1.76|  73.0|     canoe|           0|      11.0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|  male|  1.78|  77.0|     canoe|           0|      11.0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|  male|  1.88|  88.0|     canoe|           0|      11.0|
|             Ecuador|       3.577468|       10527.0|  16491116|               8.7|  male|   1.9|  92.0|     canoe|           0|      11.0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|  male|  1.59|  58.0|     canoe|           0|      11.0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|  male|  1.84|  75.0|     canoe|           0|      11.0|
|              Latvia|      0.6330571|       22092.0|   1974265|              12.8|  male|  1.78|  82.0|     canoe|           0|      11.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|  male|  1.91|  89.0|     canoe|           0|      11.0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|  male|  1.85|  78.0|     canoe|           0|      11.0|
|            Portugal|       0.374637|       25346.0|  10325540|               9.2|  male|  1.81|  82.0|     canoe|           0|      11.0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|  male|  1.78|  77.0|     canoe|           0|      11.0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.78|  84.0|     canoe|           0|      11.0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|  male|   1.7|  83.0|     canoe|           0|      11.0|
|            Portugal|       0.374637|       25346.0|  10325540|               9.2|  male|  1.86|  87.0|     canoe|           0|      11.0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|  male|  1.85|  86.0|     canoe|           0|      11.0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.87|  91.0|     canoe|           0|      11.0|
|         Switzerland|     0.03427533|       59662.0|   8379915|              13.4|  male|  1.85|  85.0|     canoe|           0|      11.0|
|              Israel|      0.2413946|       31701.0|   8108984|              13.0|  male|  1.83|  77.0|gymnastics|           0|       9.0|
|             Germany|            0.0|       44689.0|  82193770|              14.1|  male|  1.67|  60.0|gymnastics|           0|       9.0|
|             Germany|            0.0|       44689.0|  82193770|              14.1|  male|  1.72|  65.0|gymnastics|           0|       9.0|
|             Belarus|            0.0|       17628.0|   9445638|              12.3|  male|  1.72|  66.0|gymnastics|           0|       9.0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.75|  70.0|gymnastics|           0|       9.0|
|             Ukraine|            0.0|        9214.0|  44713708|              11.3|  male|  1.75|  62.0|gymnastics|           0|       9.0|
|          Uzbekistan|       13.62555|       10381.0|  31441753|              11.4|  male|  1.68|  57.0|gymnastics|           0|       9.0|
|             Armenia|       1.162991|       10080.0|   2936147|              11.7|  male|   1.6|  55.0|gymnastics|           0|       9.0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|  male|  1.72|  71.0|gymnastics|           0|       9.0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|  male|   1.7|  60.0|gymnastics|           0|       9.0|
|         Switzerland|     0.03427533|       59662.0|   8379915|              13.4|  male|  1.62|  62.0|gymnastics|           0|       9.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|  male|  1.79|  72.0|gymnastics|           0|       9.0|
|      United Kingdom|      0.2052228|       37334.0|  66297944|              12.9|  male|  1.65|  62.0|gymnastics|           0|       9.0|
|              Taiwan|            0.0|       42165.0|  23618201|              12.0|  male|   1.7|  65.0|gymnastics|           0|       9.0|
|         Switzerland|     0.03427533|       59662.0|   8379915|              13.4|  male|  1.63|  60.0|gymnastics|           0|       9.0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|  male|  1.73|  74.0|gymnastics|           0|       9.0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|  male|  1.71|  62.0|gymnastics|           0|       9.0|
|              Mexico|       2.158935|       16133.0| 123333379|               8.6|  male|  1.75|  64.0|gymnastics|           0|       9.0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|  male|  1.61|  57.0|gymnastics|           0|       9.0|
|             Belgium|     0.05981615|       38766.0|  11354407|              11.8|  male|   1.6|  65.0|gymnastics|           0|       9.0|
|            Portugal|       0.374637|       25346.0|  10325540|               9.2|  male|  1.84|  75.0|gymnastics|           0|       9.0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.77|  65.0|gymnastics|           0|       9.0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|  male|  1.69|  69.0|gymnastics|           0|       9.0|
|         Switzerland|     0.03427533|       59662.0|   8379915|              13.4|  male|  1.65|  63.0|gymnastics|           0|       9.0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|  male|  1.73|  69.0|gymnastics|           0|       9.0|
|              Turkey|       0.202717|       17906.0|  79827868|               8.0|  male|  1.78|  68.0|gymnastics|           0|       9.0|
|             Croatia|      0.6206112|       20376.0|   4208611|              11.3|  male|   1.7|  68.0|gymnastics|           0|       9.0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|  male|  1.75|  72.0|gymnastics|           0|       9.0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|  male|  1.69|  67.0|gymnastics|           0|       9.0|
|               Japan|      0.7278879|       37465.0| 127763267|              12.7|  male|  1.65|  55.0|gymnastics|           0|       9.0|
|               Japan|      0.7278879|       37465.0| 127763267|              12.7|female|  1.46|  35.0|gymnastics|           0|       9.0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|  1.67|  58.0|gymnastics|           0|       9.0|
|               Japan|      0.7278879|       37465.0| 127763267|              12.7|female|  1.71|  46.0|gymnastics|           0|       9.0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|female|  1.68|  48.0|gymnastics|           0|       9.0|
|              Mexico|       2.158935|       16133.0| 123333379|               8.6|female|  1.47|  45.0|gymnastics|           0|       9.0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|female|  1.63|  47.0|gymnastics|           0|       9.0|
|              Israel|      0.2413946|       31701.0|   8108984|              13.0|female|   1.7|  53.0|gymnastics|           0|       9.0|
|             Croatia|      0.6206112|       20376.0|   4208611|              11.3|female|  1.64|  58.0|gymnastics|           0|       9.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.51|  45.0|gymnastics|           0|       9.0|
|            Portugal|       0.374637|       25346.0|  10325540|               9.2|female|  1.58|  53.0|gymnastics|           0|       9.0|
|           Guatemala|        7.61334|        7221.0|  16583079|               6.5|female|  1.56|  46.0|gymnastics|           0|       9.0|
|             Germany|            0.0|       44689.0|  82193770|              14.1|female|  1.71|  56.0|gymnastics|           0|       9.0|
|          Uzbekistan|       13.62555|       10381.0|  31441753|              11.4|female|   1.7|  49.0|gymnastics|           0|       9.0|
|             Ukraine|            0.0|        9214.0|  44713708|              11.3|female|  1.69|  49.0|gymnastics|           0|       9.0|
|             Ukraine|            0.0|        9214.0|  44713708|              11.3|female|  1.58|  49.0|gymnastics|           0|       9.0|
|                Peru|       3.532684|       11776.0|  30926036|               9.2|female|  1.57|  49.0|gymnastics|           0|       9.0|
|             Belarus|            0.0|       17628.0|   9445638|              12.3|female|  1.73|  50.0|gymnastics|           0|       9.0|
|               Japan|      0.7278879|       37465.0| 127763267|              12.7|female|  1.45|  37.0|gymnastics|           0|       9.0|
|            Slovakia|       1.331123|       25364.0|   5442001|              12.5|female|  1.68|  62.0|gymnastics|           0|       9.0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|female|  1.65|  60.0|gymnastics|           0|       9.0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|female|   1.7|  50.0|gymnastics|           0|       9.0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|female|   1.6|  50.0|gymnastics|           0|       9.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.64|  48.0|gymnastics|           0|       9.0|
|            Colombia|       4.528075|       13326.0|  48175048|               8.3|female|  1.56|  50.0|gymnastics|           0|       9.0|
|      United Kingdom|      0.2052228|       37334.0|  66297944|              12.9|female|  1.37|  43.0|gymnastics|           0|       9.0|
